Model,Mode,Seed,Traj_RMSE (%),Traj_MAE (%),Traj_R2,EOL_MAE (Cycles),EOL_MAPE (%),EOL_R2,Time (s)
PINN,Base,0,3.409169614315033,1.7574537545442581,0.6925047636032104,54.834131523464336,10.832125964060472,0.8119598769699167,6.562544941902161
PINN,Base,1,3.8550496101379395,1.996409147977829,0.6068112254142761,95.65123643898974,20.98436894902837,0.3542400513831925,3.6910874366760256
PINN,Base,2,3.4446030855178833,1.9326623529195786,0.6860795617103577,75.77097490090259,18.81400376451341,0.5565131935352201,3.941584753990173
PINN,Base,3,2.4860231205821037,1.6688263043761253,0.8364872932434082,61.341457894779886,14.99729376206152,0.7664968766927153,3.8816016912460327
PINN,Base,4,3.2644547522068024,1.8314523622393608,0.7180562019348145,62.60621347050477,11.036984076227899,0.7388474263176932,2.4415374040603637
PINN,Base,5,3.3864907920360565,1.8535178154706955,0.6965822577476501,60.92817900420546,11.326778743052564,0.7310412573704554,3.899304819107056
PINN,Base,6,3.2012570649385452,1.729387417435646,0.7288670539855957,56.74071374752928,10.419795545318351,0.7671711982688298,3.2307484626770018
PINN,Base,7,4.0224142372608185,2.1269921213388443,0.5719299912452698,64.8485638647571,11.948531298646856,0.7107404976878129,2.482465720176697
PINN,Base,8,3.277631476521492,1.8763663247227669,0.7157755494117737,105.22799471558896,23.41207594247326,0.3100269663309495,6.059734225273132
PINN,Base,9,3.8339201360940933,1.9317394122481346,0.6111094951629639,74.7565612563972,17.052669215875575,0.5826933129114716,4.895051407814026
PINN,Phys,0,1.6896551474928856,1.1047391220927238,0.9225501418113708,60.72275245354086,11.896259439982304,0.7767764997991262,8.910308361053467
PINN,Phys,1,2.9384493827819824,1.5769872814416885,0.8020654916763306,79.277699041282,15.023781452315868,0.6319688788112519,3.523683953285217
PINN,Phys,2,2.639140747487545,1.3085556216537952,0.8207340240478516,59.11506913887851,13.996108173414811,0.8052181695768899,5.539549803733825
PINN,Phys,3,1.3370083644986153,0.9259420447051525,0.9497460722923279,53.033537220155786,9.993278616853145,0.8263196383777192,4.084958028793335
PINN,Phys,4,2.5728102773427963,1.4055067673325539,0.8288769125938416,78.3212506216487,14.65710146614886,0.4837352757403871,6.044890308380127
PINN,Phys,5,2.7359317988157272,1.3343055732548237,0.8048083782196045,60.602175063012794,11.205407528370761,0.7376947945466438,6.968709182739258
PINN,Phys,6,1.4224352315068245,0.8512589149177074,0.9439374208450317,53.24355002150885,9.638017385493534,0.7904399162141675,1.8773059844970703
